schoolid,schoolname,calendaryear,academicyear,ftjd1sectionsz,ptjd1sectionsz,postjd1courses,courseseclt25,courseseclt50,courseseclt75,courseseclt100,coursesectgte100,totalsimpos,ftsimposfilled,ptsimposfilled,ftsemposfilled,ptsemposfilled,totalclinpos,ftclinposfilled,ftfieldposfilled,ftindstudy,ftlawjour,ftinterskillscomp,ptclinposfilled,ptfieldposfilled,ptindstudy,ptlawjour,ptinterskillscomp,gradreqcredithrs,jd1sectionsz,simposfilled,semposfilled,totalclinics,clinposfilled,fieldposfilled,indstudy,lawjour,interskillscomp,fyreqcourscredithrs,ulreqcourscredithrs
00100300,Faulkner University,2011,2010,75,0,51,41,15,9,0,0,226,187,11,71,5,80,75,73,,42,49,1,2,,3,0,90,75,198,76,,76,75,,45,49,,
00100300,Faulkner University,2012,2011,65,0,66,43,10,13,0,0,328,261,0,,,72,72,64,2,43,66,0,0,0,0,0,90,65,261,,,72,64,2,43,66,,
00100300,Faulkner University,2013,2012,60,0,69,50,21,5,0,0,280,231,0,,,72,61,76,3,44,52,0,0,0,0,0,90,60,231,,,61,76,3,44,52,,
00100300,Faulkner University,2014,2013,50,0,80,61,18,2,1,0,306,238,0,71,0,76,64,87,5,90,62,0,0,0,0,0,88,50,238,71,,64,87,5,90,62,,
00100300,Faulkner University,2015,2014,59,,55,48,22,3,0,0,312,179,,73,,98,60,61,4,83,42,,,,,,88,59,179,73,4,60,61,4,83,42,,
00100300,Faulkner University,2016,2015,,,55,46,14,2,2,1,389,,,,,82,,,,,,,,,,,90,52,228,54,3,62,55,4,61,37,,
00100300,Faulkner University,2017,2016,,,59,58,33,2,4,0,314,,,,,86,,,,,,,,,,,90,45,,,,,60,,,,32,37
00103600,Samford University,2011,2010,54,0,112,75,37,16,0,0,466,397,0,176,0,0,0,49,,91,46,0,0,,0,0,90,54,397,176,,0,49,,91,46,,
00103600,Samford University,2012,2011,50,0,121,90,42,17,0,0,424,376,0,,,0,0,71,121,111,45,0,0,0,0,0,90,50,376,,,0,71,121,111,45,,
00103600,Samford University,2013,2012,40,0,108,68,42,12,0,0,365,312,0,,,0,0,77,120,84,53,0,0,0,0,0,90,40,312,,,0,77,120,84,53,,
00103600,Samford University,2014,2013,57,0,99,94,37,8,0,0,426,350,0,119,0,0,0,57,91,67,65,0,0,0,0,0,90,57,350,119,,0,57,91,67,65,,
00103600,Samford University,2015,2014,49,,112,84,36,14,0,0,450,362,,143,,0,0,55,92,74,68,,,,,,90,49,362,143,0,0,55,92,74,68,,
00103600,Samford University,2016,2015,,,164,99,43,10,1,0,398,,,,,0,,,,,,,,,,,90,50,346,232,0,0,56,75,77,46,,
00103600,Samford University,2017,2016,,,152,79,40,11,0,1,414,,,,,0,,,,,,,,,,,90,50,,,,,42,,,,30,20
00105100,University of Alabama,2011,2010,55,0,126,122,29,6,2,4,487,402,0,189,0,154,146,93,,128,116,0,0,,0,0,90,55,402,189,,146,93,,128,116,,
00105100,University of Alabama,2012,2011,50,0,176,122,30,8,1,1,395,303,0,,,115,111,112,58,126,102,0,0,0,0,0,90,50,303,,,111,112,58,126,102,,
00105100,University of Alabama,2013,2012,52,0,184,147,29,9,1,0,546,376,0,,,153,138,93,41,122,53,0,0,0,0,0,90,52,376,,,138,93,41,122,53,,
00105100,University of Alabama,2014,2013,50,0,165,161,22,7,3,2,396,294,0,179,0,146,130,76,42,152,55,0,0,0,0,0,90,50,294,179,,130,76,42,152,55,,
00105100,University of Alabama,2015,2014,45,,157,138,17,6,3,1,251,212,,173,,118,105,67,40,154,95,,,,,,90,45,212,173,15,105,67,40,154,95,,
00105100,University of Alabama,2016,2015,,,169,125,20,7,5,1,236,,,,,98,,,,,,,,,,,90,51,191,174,12,95,70,48,154,99,,
00105100,University of Alabama,2017,2016,,,163,117,29,5,1,0,577,,,,,100,,,,,,,,,,,90,68,,,,,47,,,,31,11
00108100,Arizona State University,2011,2010,60,0,139,86,32,4,8,0,258,235,0,846,0,176,171,282,,86,251,0,0,,0,0,89,60,235,846,,171,282,,86,251,,
00108100,Arizona State University,2012,2011,55,0,161,133,35,9,6,1,316,289,0,,,177,177,295,68,92,264,0,0,0,0,0,88,55,289,,,177,295,68,92,264,,
00108100,Arizona State University,2013,2012,44,0,163,137,35,8,5,0,149,138,0,,,176,164,286,118,90,238,0,0,0,0,0,88,44,138,,,164,286,118,90,238,,
00108100,Arizona State University,2014,2013,49,0,161,143,32,12,2,2,411,407,0,545,0,204,169,265,123,117,54,0,0,0,0,0,88,49,407,545,,169,265,123,117,54,,
00108100,Arizona State University,2015,2014,49,,172,146,31,8,4,1,397,383,,636,,180,146,289,359,104,51,,,,,,88,49,383,636,11,146,289,359,104,51,,
00108100,Arizona State University,2016,2015,,,165,148,24,6,8,0,395,,,,,192,,,,,,,,,,,88,73,361,556,11,125,296,75,124,41,,
00108100,Arizona State University,2017,2016,,,159,134,39,18,6,0,387,,,,,138,,,,,,,,,,,88,82,,,,,379,,,,30,6
00108300,University of Arizona,2011,2010,73,0,124,103,19,6,0,2,211,166,0,320,0,100,100,112,,118,37,0,0,,0,0,88,73,166,320,,100,112,,118,37,,
00108300,University of Arizona,2012,2011,30,0,172,114,21,7,1,2,312,250,0,,,180,183,85,188,112,19,0,0,0,0,0,88,30,250,,,183,85,188,112,19,,
00108300,University of Arizona,2013,2012,51,0,169,129,23,3,1,2,327,267,0,,,194,180,94,176,140,17,0,0,0,0,0,88,51,267,,,180,94,176,140,17,,
00108300,University of Arizona,2014,2013,55,0,175,155,19,2,2,1,544,431,0,310,0,212,193,130,101,144,43,0,0,0,0,0,88,55,431,310,,193,130,101,144,43,,
00108300,University of Arizona,2015,2014,54,,166,154,12,2,1,2,833,583,,300,,228,183,154,90,148,94,,,,,,88,54,583,300,14,183,154,90,148,94,,
00108300,University of Arizona,2016,2015,,,177,142,15,1,2,1,913,,,,,229,,,,,,,,,,,88,55,522,250,14,189,162,149,205,130,,
00108300,University of Arizona,2017,2016,,,173,141,19,2,1,0,844,,,,,221,,,,,,,,,,,88,66,,,,,150,,,,30,15
00110101,University of Arkansas-Little Rock,2011,2010,88,56,106,76,22,9,17,0,362,261,81,84,130,64,38,63,,37,25,6,2,,17,4,90,144,342,214,,44,65,,54,29,,
00110101,University of Arkansas-Little Rock,2012,2011,85,52,115,95,35,6,5,0,459,275,128,,,72,61,54,10,63,17,0,5,2,4,3,90,137,403,,,61,59,12,67,20,,
00110101,University of Arkansas-Little Rock,2013,2012,83,63,115,125,24,10,3,0,438,293,73,,,76,51,55,10,102,17,8,7,4,13,2,90,146,366,,,59,62,14,115,19,,
00110101,University of Arkansas-Little Rock,2014,2013,94,38,115,106,22,8,4,0,378,284,56,74,140,84,60,38,9,99,16,9,5,4,7,4,90,132,340,214,,69,43,13,106,20,,
00110101,University of Arkansas-Little Rock,2015,2014,91,,92,108,22,7,3,1,519,434,,127,,72,81,59,16,88,12,,,,,,90,91,434,127,5,81,59,16,88,12,,
00110101,University of Arkansas-Little Rock,2016,2015,,,85,105,21,6,5,0,457,,,,,76,,,,,,,,,,,90,98,391,136,9,75,42,8,86,13,,
00110101,University of Arkansas-Little Rock,2017,2016,,,87,125,25,2,6,0,382,,,,,72,,,,,,,,,,,90,105,,,,,48,,,,30,24
00110800,University of Arkansas-Fayetteville,2011,2010,68,0,97,98,15,10,3,0,307,245,0,121,0,110,106,68,,66,44,0,0,,0,0,90,68,245,121,,106,68,,66,44,,
00110800,University of Arkansas-Fayetteville,2012,2011,66,0,104,101,19,7,2,1,258,204,0,,,100,94,106,19,76,45,0,0,0,0,0,90,66,204,,,94,106,19,76,45,,
00110800,University of Arkansas-Fayetteville,2013,2012,67,0,120,96,22,6,3,0,226,195,0,,,82,75,131,14,73,44,0,0,0,0,0,90,67,195,,,75,131,14,73,44,,
00110800,University of Arkansas-Fayetteville,2014,2013,62,0,117,88,28,6,2,0,243,202,0,92,0,76,67,135,17,63,21,0,0,0,0,0,90,62,202,92,,67,135,17,63,21,,
00110800,University of Arkansas-Fayetteville,2015,2014,65,,117,103,23,2,1,0,195,154,,92,,80,66,128,7,71,27,,,,,,90,65,154,92,11,66,128,7,71,27,,
00110800,University of Arkansas-Fayetteville,2016,2015,,,117,104,16,6,1,0,226,,,,,81,,,,,,,,,,,90,60,176,62,12,72,106,16,65,24,,
00110800,University of Arkansas-Fayetteville,2017,2016,,,123,98,21,6,0,0,219,,,,,66,,,,,,,,,,,90,60,,,,,123,,,,30,11
00116453,Chapman University,2011,2010,53,53,163,101,32,15,1,0,501,467,29,90,42,233,122,141,,175,59,15,5,,2,2,88,106,496,132,,137,146,,177,61,,
00116453,Chapman University,2012,2011,55,55,105,123,38,14,1,0,551,520,30,,,186,114,154,97,61,72,10,3,5,0,2,88,110,550,,,124,157,102,61,74,,
00116453,Chapman University,2013,2012,53,53,120,109,39,5,1,0,700,572,38,,,174,121,167,93,100,65,1,2,0,0,0,88,106,610,,,122,169,93,100,65,,
00116453,Chapman University,2014,2013,58,58,120,141,25,7,0,0,828,529,24,105,9,174,114,148,53,81,65,6,6,0,0,3,88,116,553,114,,120,154,53,81,68,,
00116453,Chapman University,2015,2014,50,,121,124,32,7,0,0,625,475,,103,,196,111,152,70,80,71,,,,,,88,50,475,103,6,111,152,70,80,71,,
00116453,Chapman University,2016,2015,,,103,109,24,7,2,0,476,,,,,222,,,,,,,,,,,88,65,454,49,6,107,153,46,64,81,,
00116453,Chapman University,2017,2016,,,106,129,19,10,0,0,423,,,,,228,,,,,,,,,,,88,64,,,,,164,,,,29,19
00120529,Golden Gate University,2011,2010,66,50,173,203,49,10,2,0,440,390,41,337,30,107,101,190,,129,79,2,14,,7,5,88,116,431,367,,103,204,,136,84,,
00120529,Golden Gate University,2012,2011,60,47,186,235,46,16,0,0,1045,692,74,,,130,97,215,21,176,73,1,10,2,5,1,88,107,766,,,98,225,23,181,74,,
00120529,Golden Gate University,2013,2012,49,31,128,207,41,10,0,0,832,543,134,,,114,72,185,69,154,81,0,2,0,0,11,88,80,677,,,72,187,69,154,92,,
00120529,Golden Gate University,2014,2013,59,31,153,171,29,11,0,0,673,348,168,134,0,138,91,204,60,122,56,0,0,0,0,0,88,90,516,134,,91,204,60,122,56,,
00120529,Golden Gate University,2015,2014,38,,149,205,34,4,1,0,630,439,,80,,268,150,158,30,101,32,,,,,,88,38,439,80,6,150,158,30,101,32,,
00120529,Golden Gate University,2016,2015,,,140,209,21,2,0,0,525,,,,,246,,,,,,,,,,,88,32,351,60,6,122,113,25,79,44,,
00120529,Golden Gate University,2017,2016,,,100,118,22,0,0,0,478,,,,,195,,,,,,,,,,,88,50,,,,,115,,,,30,30
00121601,University of La Verne,2011,2010,30,15,75,83,37,2,0,0,505,348,129,69,15,24,13,102,,34,27,3,12,,5,4,88,45,477,84,,16,114,,39,31,,
00121601,University of La Verne,2012,2011,27,24,66,106,27,2,0,0,374,146,89,,,24,13,51,12,31,24,0,10,2,5,3,88,51,235,,,13,61,14,36,27,,
00121601,University of La Verne,2013,2012,50,0,54,64,17,1,0,0,195,145,25,,,24,15,33,5,18,31,4,3,2,0,1,88,50,170,,,19,36,7,18,32,,
00121601,University of La Verne,2014,2013,20,20,48,62,8,0,0,0,200,68,32,12,15,30,15,18,2,16,15,5,2,1,14,13,88,40,100,27,,20,20,3,30,28,,
00121601,University of La Verne,2015,2014,25,,48,63,5,0,0,0,244,166,,29,,30,23,30,12,26,39,,,,,,88,25,166,29,2,23,30,12,26,39,,
00121601,University of La Verne,2016,2015,,,47,65,10,0,0,0,200,,,,,30,,,,,,,,,,,88,40,145,17,2,21,54,5,48,49,,
00121601,University of La Verne,2017,2016,,,55,82,13,1,0,0,304,,,,,30,,,,,,,,,,,88,49,,,,,43,,,,32,30
00129500,Southwestern Law School,2011,2010,83,86,172,164,45,25,13,0,1241,726,262,216,67,99,72,302,,90,79,18,34,,17,25,87,169,988,283,,90,336,,107,104,,
00129500,Southwestern Law School,2012,2011,84,90,182,155,48,26,15,0,1542,952,295,,,109,73,375,10,95,66,15,69,7,13,23,87,174,1247,,,88,444,17,108,89,,
00129500,Southwestern Law School,2013,2012,83,76,184,150,61,24,12,0,1599,919,314,,,130,84,301,3,88,63,26,87,1,18,23,87,159,1233,,,110,388,4,106,86,,
00129500,Southwestern Law School,2014,2013,87,66,165,160,45,23,14,0,1321,682,286,286,116,136,90,318,1,67,76,30,106,2,26,23,87,153,968,402,,120,424,3,93,99,,
00129500,Southwestern Law School,2015,2014,84,,165,134,54,27,14,0,1354,1095,,366,,147,115,408,6,100,98,,,,,,87,84,1095,366,9,115,408,6,100,98,,
00129500,Southwestern Law School,2016,2015,,,164,127,61,26,6,1,1541,,,,,129,,,,,,,,,,,87,71,1198,429,9,103,380,12,172,156,,
00129500,Southwestern Law School,2017,2016,,,153,124,59,22,4,1,1529,,,,,124,,,,,,,,,,,87,52,,,,,341,,,,30,28
00130503,Stanford University,2011,2010,60,0,223,127,29,15,4,3,459,401,0,935,0,288,232,61,,399,38,0,0,,0,0,111,60,401,935,,232,61,,399,38,,
00130503,Stanford University,2012,2011,30,0,254,205,34,11,7,1,485,404,0,,,272,201,43,85,382,40,0,0,0,0,0,111,30,404,,,201,43,85,382,40,,
00130503,Stanford University,2013,2012,30,0,274,169,43,13,6,1,503,447,0,,,281,226,30,103,395,38,0,0,0,0,0,111,30,447,,,226,30,103,395,38,,
00130503,Stanford University,2014,2013,30,0,280,178,34,14,4,1,509,468,0,1023,0,313,240,58,227,385,39,0,0,0,0,0,111,30,468,1023,,240,58,227,385,39,,
00130503,Stanford University,2015,2014,30,,288,177,37,15,4,1,602,521,,1179,,318,248,35,249,415,40,,,,,,111,30,521,1179,42,248,35,249,415,40,,
00130503,Stanford University,2016,2015,,,276,185,43,18,2,3,585,,,,,270,,,,,,,,,,,111,30,545,1221,43,234,50,246,316,40,,
00130503,Stanford University,2017,2016,,,297,184,45,9,6,1,611,,,,,288,,,,,,,,,,,111,60,,,,,70,,,,29,82
00131273,University of California-Berkeley,2011,2010,96,0,238,114,56,10,22,9,2335,1078,0,2039,0,166,162,148,,171,69,0,0,,0,0,85,96,1078,2039,,162,148,,171,69,,
00131273,University of California-Berkeley,2012,2011,61,0,237,234,53,17,3,9,1044,741,0,,,203,190,129,362,344,121,0,0,0,0,0,85,61,741,,,190,129,362,344,121,,
00131273,University of California-Berkeley,2013,2012,64,0,248,212,48,19,10,7,1450,1024,0,,,228,216,156,349,310,101,0,0,0,0,0,85,64,1024,,,216,156,349,310,101,,
00131273,University of California-Berkeley,2014,2013,67,0,218,176,42,19,9,6,1133,909,0,987,0,207,200,175,345,290,86,0,0,0,0,0,85,67,909,987,,200,175,345,290,86,,
00131273,University of California-Berkeley,2015,2014,65,,233,175,71,20,7,6,1325,1063,,871,,198,196,167,414,291,84,,,,,,85,65,1063,871,7,196,167,414,291,84,,
00131273,University of California-Berkeley,2016,2015,,,231,158,51,20,5,7,1334,,,,,222,,,,,,,,,,,85,70,1062,860,10,222,174,396,274,84,,
00131273,University of California-Berkeley,2017,2016,,,259,172,65,17,12,6,1244,,,,,230,,,,,,,,,,,85,101,,,,,187,,,,24,9
00131373,University of California-Davis,2011,2010,67,0,100,74,18,9,7,6,467,395,0,223,0,172,139,126,,392,175,0,0,,0,0,88,67,395,223,,139,126,,392,175,,
00131373,University of California-Davis,2012,2011,64,0,114,71,23,8,4,9,546,454,0,,,140,122,131,184,313,186,0,0,0,0,0,88,64,454,,,122,131,184,313,186,,
00131373,University of California-Davis,2013,2012,64,0,139,78,30,8,7,5,430,338,0,,,126,92,133,173,301,263,0,0,0,0,0,88,64,338,,,92,133,173,301,263,,
00131373,University of California-Davis,2014,2013,64,0,114,67,23,8,6,6,507,382,0,199,0,126,99,150,102,346,114,0,0,0,0,0,88,64,382,199,,99,150,102,346,114,,
00131373,University of California-Davis,2015,2014,60,,121,75,28,8,5,4,484,321,,306,,106,78,119,111,301,115,,,,,,88,60,321,306,5,78,119,111,301,115,,
00131373,University of California-Davis,2016,2015,,,123,77,28,5,4,4,517,,,,,108,,,,,,,,,,,88,62,340,384,5,81,89,95,520,115,,
00131373,University of California-Davis,2017,2016,,,127,76,32,8,3,5,614,,,,,104,,,,,,,,,,,88,60,,,,,107,,,,31,5
00131400,University of California-Irvine,2011,2010,42,0,34,26,5,0,0,0,60,43,0,27,0,0,0,33,,53,18,0,0,,0,0,86,42,43,27,,0,33,,53,18,,
00131400,University of California-Irvine,2012,2011,43,0,86,61,8,2,0,0,152,70,0,,,304,101,68,41,86,4,0,0,0,0,0,86,43,70,,,101,68,41,86,4,,
00131400,University of California-Irvine,2013,2012,59,0,102,60,9,3,1,0,167,135,0,,,205,141,73,47,84,37,0,0,0,0,0,86,59,135,,,141,73,47,84,37,,
00131400,University of California-Irvine,2014,2013,60,0,117,72,12,3,1,0,176,111,0,224,0,221,174,77,54,70,9,0,0,0,0,0,86,60,111,224,,174,77,54,70,9,,
00131400,University of California-Irvine,2015,2014,45,,142,90,9,6,1,0,181,137,,344,,325,248,125,57,70,5,,,,,,86,45,137,344,34,248,125,57,70,5,,
00131400,University of California-Irvine,2016,2015,,,145,84,10,4,0,0,205,,,,,380,,,,,,,,,,,86,33,121,297,38,223,106,57,109,15,,
00131400,University of California-Irvine,2017,2016,,,157,104,8,3,1,0,215,,,,,346,,,,,,,,,,,86,35,,,,,90,,,,33,53
00131500,University of California-Los Angeles,2011,2010,80,0,166,73,26,17,14,9,221,211,0,761,0,185,159,146,,368,14,0,0,,0,0,87,80,211,761,,159,146,,368,14,,
00131500,University of California-Los Angeles,2012,2011,80,0,174,129,33,12,15,8,271,255,0,,,177,169,170,255,552,19,0,0,0,0,0,87,80,255,,,169,170,255,552,19,,
00131500,University of California-Los Angeles,2013,2012,76,0,192,146,28,24,13,5,310,303,0,,,113,101,116,241,422,24,0,0,0,0,0,87,76,303,,,101,116,241,422,24,,
00131500,University of California-Los Angeles,2014,2013,80,0,179,138,36,12,12,9,320,309,0,799,0,189,175,179,280,369,41,0,0,0,0,0,87,80,309,799,,175,179,280,369,41,,
00131500,University of California-Los Angeles,2015,2014,80,,188,135,35,14,14,8,457,422,,870,,193,176,162,300,468,44,,,,,,87,80,422,870,19,176,162,300,468,44,,
00131500,University of California-Los Angeles,2016,2015,,,191,150,39,15,12,9,595,,,,,202,,,,,,,,,,,87,72,562,899,20,191,193,274,455,30,,
00131500,University of California-Los Angeles,2017,2016,,,210,124,46,15,12,11,561,,,,,211,,,,,,,,,,,87,72,,,,,194,,,,32,9
00132500,University of San Francisco,2011,2010,96,63,104,85,36,11,6,0,320,281,34,295,15,144,95,121,,138,110,9,6,,6,4,86,159,315,310,,104,127,,144,114,,
00132500,University of San Francisco,2012,2011,98,58,112,79,36,14,6,0,448,307,23,,,107,98,130,55,132,107,5,5,5,9,6,84,156,330,,,103,135,60,141,113,,
00132500,University of San Francisco,2013,2012,93,33,115,93,33,8,7,0,971,596,103,,,100,78,121,31,84,45,4,14,4,5,4,84,126,699,,,82,135,35,89,49,,
00132500,University of San Francisco,2014,2013,72,26,124,98,32,8,1,0,778,481,92,196,19,124,82,157,45,119,39,10,16,12,12,2,84,98,573,215,,92,173,57,131,41,,
00132500,University of San Francisco,2015,2014,71,,123,113,16,10,0,0,1168,732,,156,,117,93,159,37,110,40,,,,,,84,71,732,156,7,93,159,37,110,40,,
00132500,University of San Francisco,2016,2015,,,119,112,15,3,4,0,668,,,,,130,,,,,,,,,,,84,88,543,209,8,93,136,28,169,42,,
00132500,University of San Francisco,2017,2016,,,104,89,16,9,3,1,744,,,,,110,,,,,,,,,,,84,68,,,,,187,,,,25,20
00132600,Santa Clara University,2011,2010,76,78,170,131,49,19,17,1,329,301,0,1530,0,266,238,382,,104,42,0,0,,0,0,86,154,301,1530,,238,382,,104,42,,
00132600,Santa Clara University,2012,2011,74,69,168,127,42,23,12,1,639,489,0,,,272,216,285,55,80,99,0,0,0,0,0,86,143,489,,,216,285,55,80,99,,
00132600,Santa Clara University,2013,2012,66,36,166,119,42,14,17,1,539,474,0,,,367,257,267,44,82,122,0,0,0,0,0,86,102,474,,,257,267,44,82,122,,
00132600,Santa Clara University,2014,2013,60,28,153,133,35,21,6,0,564,485,0,1102,0,413,204,211,55,73,109,0,0,0,0,0,86,88,485,1102,,204,211,55,73,109,,
00132600,Santa Clara University,2015,2014,31,,141,116,35,11,6,0,327,236,,1122,,347,184,153,46,61,47,,,,,,86,31,236,1122,15,184,153,46,61,47,,
00132600,Santa Clara University,2016,2015,,,123,116,22,14,3,0,300,,,,,380,,,,,,,,,,,86,55,213,867,15,166,143,56,57,36,,
00132600,Santa Clara University,2017,2016,,,106,95,30,15,3,0,279,,,,,287,,,,,,,,,,,86,77,,,,,169,,,,28,15
00132800,University of Southern California,2011,2010,70,0,113,82,23,10,5,10,504,403,0,265,0,88,87,132,,164,55,0,0,,0,0,88,70,403,265,,87,132,,164,55,,
00132800,University of Southern California,2012,2011,66,0,128,82,34,7,8,8,429,398,0,,,66,64,156,101,164,55,0,0,0,0,0,88,66,398,,,64,156,101,164,55,,
00132800,University of Southern California,2013,2012,60,0,131,100,22,10,5,10,428,353,0,,,103,100,152,115,168,65,0,0,0,0,0,88,60,353,,,100,152,115,168,65,,
00132800,University of Southern California,2014,2013,68,0,117,81,23,9,4,10,524,428,0,322,0,93,90,62,71,172,51,0,0,0,0,0,88,68,428,322,,90,62,71,172,51,,
00132800,University of Southern California,2015,2014,70,,127,84,30,11,5,7,717,557,,235,,91,88,171,139,148,66,,,,,,88,70,557,235,9,88,171,139,148,66,,
00132800,University of Southern California,2016,2015,,,122,84,35,7,2,8,712,,,,,96,,,,,,,,,,,88,75,586,245,8,95,143,54,153,77,,
00132800,University of Southern California,2017,2016,,,134,82,39,8,5,9,833,,,,,102,,,,,,,,,,,88,68,,,,,185,,,,32,14
00132901,McGeorge School of Law,2011,2010,95,50,168,129,41,19,28,3,493,320,117,249,72,230,144,231,,85,31,47,87,,19,12,88,145,437,321,,191,318,,104,43,,
00132901,McGeorge School of Law,2012,2011,58,54,159,171,50,17,22,1,1115,837,201,,,260,171,236,24,87,42,57,88,14,11,9,88,112,1038,,,228,324,38,98,51,,
00132901,McGeorge School of Law,2013,2012,66,58,129,163,55,11,15,0,969,674,201,,,219,157,221,23,91,40,28,56,4,13,5,88,124,875,,,185,277,27,104,45,,
00132901,McGeorge School of Law,2014,2013,63,42,147,201,45,14,7,0,800,394,182,137,74,108,91,139,16,140,79,8,54,13,26,13,88,105,576,211,,99,193,29,166,92,,
00132901,McGeorge School of Law,2015,2014,61,,140,145,33,13,0,0,877,701,,239,,146,126,180,47,184,85,,,,,,88,61,701,239,9,126,180,47,184,85,,
00132901,McGeorge School of Law,2016,2015,,,129,147,24,7,0,0,1115,,,,,120,,,,,,,,,,,88,68,847,467,8,97,129,52,101,84,,
00132901,McGeorge School of Law,2017,2016,,,121,146,27,6,1,0,1156,,,,,97,,,,,,,,,,,88,68,,,,,91,,,,29,25
00134201,Whittier Law School,2011,2010,82,41,108,77,35,7,2,3,986,433,100,144,33,120,42,158,,105,45,10,30,,14,10,87,123,533,177,,52,188,,119,55,,
00134201,Whittier Law School,2012,2011,75,0,100,96,25,20,4,1,413,275,70,,,90,45,164,24,92,30,13,36,4,20,9,87,75,345,,,58,200,28,112,39,,
00134201,Whittier Law School,2013,2012,57,0,117,103,29,19,3,1,870,479,199,,,102,50,136,18,128,33,16,84,5,56,5,87,57,678,,,66,220,23,184,38,,
00134201,Whittier Law School,2014,2013,40,0,136,108,46,11,1,0,1142,436,339,64,79,50,17,82,9,111,19,19,83,15,69,17,89,40,775,143,,36,165,24,180,36,,
00134201,Whittier Law School,2015,2014,70,,137,87,36,7,0,0,1742,1124,,109,,56,26,164,22,196,47,,,,,,89,70,1124,109,8,26,164,22,196,47,,
00134201,Whittier Law School,2016,2015,,,108,160,34,11,1,0,1849,,,,,56,,,,,,,,,,,89,41,685,327,8,26,143,12,184,42,,
00134201,Whittier Law School,2017,2016,,,85,147,33,8,2,0,330,,,,,54,,,,,,,,,,,89,51,,,,,153,,,,29,60
00137000,University of Colorado,2011,2010,75,0,108,80,33,12,5,1,518,401,0,205,0,119,94,213,,144,101,0,0,,0,0,89,75,401,205,,94,213,,144,101,,
00137000,University of Colorado,2012,2011,52,0,124,85,33,11,3,0,471,421,0,,,154,122,169,28,141,164,0,0,0,0,0,89,52,421,,,122,169,28,141,164,,
00137000,University of Colorado,2013,2012,45,0,134,92,35,9,1,0,547,386,0,,,221,173,176,17,271,136,0,0,0,0,0,89,45,386,,,173,176,17,271,136,,
00137000,University of Colorado,2014,2013,65,0,155,105,31,8,0,0,642,476,0,198,0,192,142,196,14,269,151,0,0,0,0,0,89,65,476,198,,142,196,14,269,151,,
00137000,University of Colorado,2015,2014,53,,152,92,41,6,3,0,700,517,,167,,207,177,157,15,261,177,,,,,,89,53,517,167,10,177,157,15,261,177,,
00137000,University of Colorado,2016,2015,,,142,116,23,11,4,0,935,,,,,193,,,,,,,,,,,89,60,705,232,8,171,175,14,266,127,,
00137000,University of Colorado,2017,2016,,,127,104,29,8,4,0,599,,,,,220,,,,,,,,,,,89,63,,,,,181,,,,30,14
00137100,University of Denver,2011,2010,80,60,208,241,57,15,3,2,403,348,55,323,50,135,127,397,,176,66,8,34,,18,7,90,140,403,373,,135,431,,194,73,,
00137100,University of Denver,2012,2011,80,50,206,298,49,16,1,0,573,498,75,,,130,123,429,79,314,122,7,34,21,40,5,90,130,573,,,130,463,100,354,127,,
00137100,University of Denver,2013,2012,65,40,200,280,36,11,2,0,596,510,86,,,183,173,360,73,278,129,10,44,16,26,6,90,105,596,,,183,404,89,304,135,,
00137100,University of Denver,2014,2013,60,30,204,305,44,9,2,0,1364,838,89,141,22,224,195,442,74,283,143,13,34,15,19,0,90,90,927,163,,208,476,89,302,143,,
00137100,University of Denver,2015,2014,70,,221,280,37,8,3,0,1427,1037,,230,,203,199,441,78,300,149,,,,,,90,70,1037,230,14,199,441,78,300,149,,
00137100,University of Denver,2016,2015,,,208,227,35,9,3,0,995,,,,,271,,,,,,,,,,,90,70,754,729,12,200,406,87,249,186,,
00137100,University of Denver,2017,2016,,,213,198,37,13,1,0,909,,,,,308,,,,,,,,,,,90,70,,,,,523,,,,30,10
00140201,Quinnipiac University,2011,2010,61,40,107,82,23,7,1,0,264,39,181,58,5,76,49,79,,50,48,22,0,,10,5,86,101,220,63,,71,79,,60,53,,
00140201,Quinnipiac University,2012,2011,53,20,127,133,30,9,0,0,421,159,224,,,68,53,159,20,72,63,12,0,3,8,3,86,73,383,,,65,159,23,80,66,,
00140201,Quinnipiac University,2013,2012,32,18,113,82,12,2,0,0,248,118,64,,,76,42,73,6,21,0,15,0,4,7,0,86,50,182,,,57,73,10,28,0,,
00140201,Quinnipiac University,2014,2013,32,18,113,82,12,2,0,0,248,118,64,107,43,76,42,73,6,21,61,15,18,4,7,4,86,50,182,150,,57,91,10,28,65,,
00140201,Quinnipiac University,2015,2014,52,,131,123,13,2,0,0,740,328,,464,,129,41,69,34,42,57,,,,,,86,52,328,464,6,41,69,34,42,57,,
00140201,Quinnipiac University,2016,2015,,,118,139,6,3,0,0,357,,,,,112,,,,,,,,,,,86,44,193,326,6,41,61,17,46,36,,
00140201,Quinnipiac University,2017,2016,,,129,130,10,3,1,0,270,,,,,168,,,,,,,,,,,86,43,,,,,105,,,,30,21
00141706,University of Connecticut,2011,2010,67,50,164,101,25,9,0,0,710,537,162,753,233,158,147,109,,154,42,6,40,,23,2,86,117,699,986,,153,149,,177,44,,
00141706,University of Connecticut,2012,2011,50,49,164,119,30,8,0,0,684,490,170,,,185,151,153,75,115,15,29,27,27,9,2,86,99,660,,,180,180,102,124,17,,
