schoolid,schoolname,calendaryear,sprfactotal,sprftfactotal,sprftfacother,spradminfactotal,sprptfactotal,fallfactotal,fallftfactotal,fallftfacother,falladminfactotal,fallptfactotal,sprfacmen,sprftfacmen,sprotherftfacmen,spradminfacmen,sprptfacmen,fallfacmen,fallftfacmen,fallotherftfacmen,falladminfacmen,fallptfacmen,sprfacwomen,sprftfacwomen,sprotherftfacwomen,spradminfacwomen,sprptfacwomen,fallfacwomen,fallftfacwomen,fallotherftfacwomen,falladminfacwomen,fallptfacwomen,fallfacother,sprfacother,fallfacminority,sprfacminority,fallftfacminority,sprftfacminority,fallotherftfacminority,sprotherftfacminority,falladminfacother,spradminfacother,falladminfacminority,spradminfacminority,fallptfacminority,sprptfacminority,fallptfacother,sprptfacother
00108300,University of Arizona,2011,97,37,2,15,43,89,38,1,11,39,57,21,0,5,31,49,21,0,5,23,40,16,2,10,12,40,17,1,6,16,,,11,13,7,7,0,1,,,2,2,2,3,,
00108300,University of Arizona,2012,89,34,2,11,42,84,33,1,10,40,58,20,2,6,30,48,18,1,4,25,31,14,0,5,12,36,15,0,6,15,,,10,12,8,7,0,0,,,1,2,1,3,,
00108300,University of Arizona,2013,92,35,1,12,44,87,32,4,11,40,58,22,1,5,30,45,19,2,4,20,34,13,0,7,14,42,13,2,7,20,,,11,13,6,7,1,0,,,1,1,3,5,,
00108300,University of Arizona,2014,100,39,,12,49,99,36,,13,50,59,24,,5,30,53,22,,4,27,41,15,,7,19,46,14,,9,23,0,0,11,13,6,7,,,0,0,1,1,4,5,0,0
00108300,University of Arizona,2015,111,35,0,12,64,100,32,0,13,55,64,23,,5,36,56,20,,5,31,47,12,,7,28,44,12,,8,24,0,0,13,14,8,7,,,0,0,1,1,4,6,0,0
00108300,University of Arizona,2016,117,38,0,15,64,99,31,0,16,52,69,24,,4,41,50,18,,3,29,48,14,,11,23,49,13,,13,23,0,0,13,17,7,8,,,0,0,2,2,4,7,0,0
00110101,University of Arkansas-Little Rock,2011,65,19,2,8,36,71,19,2,8,42,34,10,0,2,22,42,12,0,1,29,31,9,2,6,14,29,7,2,7,13,,,9,16,3,5,0,0,,,3,4,3,7,,
00110101,University of Arkansas-Little Rock,2012,73,18,1,7,47,67,19,1,7,40,41,8,0,2,31,36,10,0,1,25,32,10,1,5,16,31,9,1,6,15,,,8,13,4,3,0,0,,,2,2,2,8,,
00110101,University of Arkansas-Little Rock,2013,66,21,1,7,37,64,18,2,8,36,34,10,0,1,23,36,10,1,3,22,32,11,1,6,14,28,8,1,5,14,,,10,14,5,5,0,0,,,3,2,2,7,,
00110101,University of Arkansas-Little Rock,2014,72,22,,8,42,67,23,,8,36,43,11,,3,29,37,11,,4,22,29,11,,5,13,30,12,,4,14,0,0,9,16,4,4,,,0,0,4,3,1,9,0,0
00110101,University of Arkansas-Little Rock,2015,79,19,0,9,51,67,21,0,11,35,45,8,,4,33,31,10,,4,17,34,11,,5,18,36,11,,7,18,0,0,10,15,4,4,,,0,0,5,3,1,8,0,0
00110101,University of Arkansas-Little Rock,2016,73,19,0,11,43,66,17,0,11,38,40,9,,5,26,32,10,,4,18,33,10,,6,17,34,7,,7,20,0,0,10,15,3,5,,,0,0,5,4,2,6,0,0
00110800,University of Arkansas-Fayetteville,2011,62,27,1,10,24,61,27,1,10,23,37,15,0,5,17,35,16,0,4,15,25,12,1,5,7,26,11,1,6,8,,,3,3,2,3,0,0,,,1,0,0,0,,
