schoolid,schoolname,calendaryear,ftrestuition,ptrestuition,ftnonrestuition,ptnonrestuition,tuitionguarind,oncampuscosts,offcampuscosts,athomecosts,schooltype
00130503,Stanford University,2013,52530,,52530,,N,27810,29196,,PRI
00130503,Stanford University,2014,54366,,54366,,N,28395,29646,,PRI
00130503,Stanford University,2015,56274,,56274,,N,29694,31005,,PRI
00130503,Stanford University,2016,58236,,58236,,N,30933,32835,,PRI
00130503,Stanford University,2017,60270,,60270,,N,32352,35613,,PRI
00131273,University of California-Berkeley,2011,50163,,54370,,N,21722,21722,21722,PUB
00131273,University of California-Berkeley,2012,48068,,52019,,N,24844,24844,24844,PUB
00131273,University of California-Berkeley,2013,48058,,52009,,N,25876,25876,25876,PUB
00131273,University of California-Berkeley,2014,48166,,52117,,N,27692,27692,27692,PUB
00131273,University of California-Berkeley,2015,48625,,52576,,N,24324,24324,24324,PUB
00131273,University of California-Berkeley,2016,48703,,52654,,N,25820,25820,25820,PUB
00131273,University of California-Berkeley,2017,49364,,53315,,N,26380,26380,26380,PUB
00131373,University of California-Davis,2011,46485,,54622,,N,,16866,,PUB
00131373,University of California-Davis,2012,49564,,58815,,N,,17032,,PUB
00131373,University of California-Davis,2013,47286,,56537,,N,,17464,,PUB
00131373,University of California-Davis,2014,47286,,56537,,N,,17634,,PUB
00131373,University of California-Davis,2015,47339,,56590,,N,,21772,,PUB
00131373,University of California-Davis,2016,47409,,56660,,N,,22518,,PUB
00131373,University of California-Davis,2017,47763,,57014,,N,,22635,,PUB
00131400,University of California-Irvine,2011,43280,,53125,,N,17625,24004,17625,PUB
00131400,University of California-Irvine,2012,44717,,51211,,N,19311,24057,18292,PUB
00131400,University of California-Irvine,2013,44717,,51211,,N,19684,24767,18710,PUB
00131400,University of California-Irvine,2014,44717,,51211,,N,19701,25386,18783,PUB
00131400,University of California-Irvine,2015,44765,,51259,,N,20191,26366,19227,PUB
00131400,University of California-Irvine,2016,44819,,51313,,N,20692,27504,19689,PUB
00131400,University of California-Irvine,2017,45155,,51649,,N,21192,30088,20198,PUB
00131500,University of California-Los Angeles,2011,44922,,54767,,N,20965,20226,12624,PUB
00131500,University of California-Los Angeles,2012,45221,,51715,,N,20424,20424,12732,PUB
00131500,University of California-Los Angeles,2013,45226,,51720,,N,23269,23269,15511,PUB
00131500,University of California-Los Angeles,2014,45226,,51720,,N,26136,26136,15519,PUB
00131500,University of California-Los Angeles,2015,45284,,51778,,N,26368,26368,15837,PUB
00131500,University of California-Los Angeles,2016,45338,,51832,,N,26899,26899,16630,PUB
00131500,University of California-Los Angeles,2017,45657,,52151,,N,26703,26703,17290,PUB
