schoolid,schoolname,calendaryear,academicyear,condscholind,numenteringcondschol,numeliminatedcondschol,numstudents,ftnumstudents,ptnumstudents,totalrecvgrant,totalrecvgrantp,ftrecvgrant,ptrecvgrant,totalgrantlthalf,totalgrantlthalfp,ftgrantlthalf,ptgrantlthalf,totalgrantalhalf,totalgrantalhalfp,ftgrantalhalf,ptgrantalhalf,totalgrantfull,totalgrantfullp,ftgrantfull,ptgrantfull,totalgrantgtfull,totalgrantgtfullp,ftgrantgtfull,ptgrantgtfull,ftgrantamt75,ptgrantamt75,ftgrantamtmedian,ptgrantamtmedian,ftgrantamt25,ptgrantamt25
00108300,University of Arizona,2011,2010,,,,469,469,0,355,75.7,355,,225,48,225,,86,18.3,86,,33,7,33,,11,2.3,11,,,,14000,,,
00108300,University of Arizona,2012,2011,N,,,440,440,0,317,72,317,,230,52.3,230,,60,13.6,60,,22,5,22,,5,1.1,5,,16000,,12000,,8000,
00108300,University of Arizona,2013,2012,N,,,407,407,0,268,65.8,268,,175,43,175,,70,17.2,70,,19,4.7,19,,4,1,4,,18000,,14000,,8000,
00108300,University of Arizona,2014,2013,N,,,404,404,0,275,68.1,275,,143,35.4,143,,85,21,85,,31,7.7,31,,16,4,16,,19381,,12850,,7381,
00108300,University of Arizona,2015,2014,N,,,379,379,0,273,72,273,,113,29.8,113,,78,20.6,78,,56,14.8,56,,26,6.9,26,,25219,,14225,,7152,
00108300,University of Arizona,2016,2015,N,,,361,359,2,284,78.7,284,0,100,27.7,100,0,89,24.7,89,0,55,15.2,55,0,40,11.1,40,0,28820,0,19750,0,9000,0
00108300,University of Arizona,2017,2016,N,,,368,364,4,336,91.3,336,0,134,36.4,134,0,63,17.1,63,0,85,23.1,85,0,54,14.7,54,0,30025,0,20525,0,5000,0
00110101,University of Arkansas-Little Rock,2011,2010,,,,490,338,152,281,57.3,233,48,125,25.5,103,22,76,15.5,66,10,23,4.7,19,4,57,11.6,45,12,,,7000,3375,,
00110101,University of Arkansas-Little Rock,2012,2011,Y,76,20,476,325,151,236,49.6,208,28,120,25.2,103,17,99,20.8,90,9,0,0,0,0,17,3.6,15,2,12901,8397,7050,4500,3000,2000
00110101,University of Arkansas-Little Rock,2013,2012,Y,62,19,451,296,155,227,50.3,188,39,121,26.8,94,27,74,16.4,68,6,14,3.1,14,0,18,4,12,6,11000,5000,4000,2050,1500,1000
00110101,University of Arkansas-Little Rock,2014,2013,Y,84,28,439,291,148,223,50.8,185,38,125,28.5,100,25,63,14.4,56,7,24,5.5,19,5,11,2.5,10,1,14190,8902,7000,3708,3500,2356
00110101,University of Arkansas-Little Rock,2015,2014,Y,65,16,424,306,118,253,59.7,195,58,165,38.9,119,46,55,13,48,7,23,5.4,18,5,10,2.4,10,0,12431,5941,6015,2750,3008,2000
00110101,University of Arkansas-Little Rock,2016,2015,Y,65,16,399,287,112,258,64.7,207,51,147,36.8,114,33,84,21.1,69,15,16,4,13,3,11,2.8,11,0,12888,7827,6400,3781,2678,2000
00110101,University of Arkansas-Little Rock,2017,2016,Y,97,34,394,293,101,279,70.8,225,54,138,35,112,26,79,20.1,62,17,58,14.7,47,11,4,1,4,0,13010,8673,7788,4770,3252,2000
00110800,University of Arkansas-Fayetteville,2011,2010,,,,390,390,0,169,43.3,169,,82,21,82,,75,19.2,75,,5,1.3,5,,7,1.8,7,,,,7000,,,
00110800,University of Arkansas-Fayetteville,2012,2011,Y,52,31,401,401,0,160,39.9,160,,100,24.9,100,,52,13,52,,1,0.2,1,,7,1.7,7,,9000,,6125,,3000,
00110800,University of Arkansas-Fayetteville,2013,2012,Y,67,47,391,391,0,184,47.1,184,,124,31.7,124,,55,14.1,55,,0,0,0,,5,1.3,5,,8331,,5220,,3000,
00110800,University of Arkansas-Fayetteville,2014,2013,Y,41,24,370,370,0,157,42.4,157,,108,29.2,108,,45,12.2,45,,1,0.3,1,,3,0.8,3,,8300,,5000,,2000,
00110800,University of Arkansas-Fayetteville,2015,2014,Y,12,4,361,361,0,162,44.9,162,,96,26.6,96,,57,15.8,57,,4,1.1,4,,5,1.4,5,,10147,,8000,,1700,
00110800,University of Arkansas-Fayetteville,2016,2015,Y,56,36,350,350,0,151,43.1,151,,84,24,84,0,62,17.7,62,,0,0,0,,5,1.4,5,,10550,,8000,,4000,
00110800,University of Arkansas-Fayetteville,2017,2016,Y,65,36,352,352,0,182,51.7,182,,96,27.3,96,0,81,23,81,,0,0,0,,5,1.4,5,,11500,,8000,,2050,
