schoolid,schoolname,calendaryear,totaljd,hispanicjd,amindianjd,asianjd,blackjd,nathawjd,twoormorejd,minorityjd,whitejd,nonresalienjd,unknownjd,menjd,hispanicmenjd,amindianmenjd,asianmenjd,blackmenjd,nathawmenjd,twoormoremenjd,minoritymenjd,whitemenjd,nonresalienmenjd,unknownmenjd,womenjd,hispanicwomenjd,amindianwomenjd,asianwomenjd,blackwomenjd,nathawwomenjd,twoormorewomenjd,minoritywomenjd,whitewomenjd,nonresalienwomenjd,unknownwomenjd,otherjd,hispanicotherjd,amindianotherjd,asianotherjd,blackotherjd,nathawotherjd,twoormoreotherjd,minorityotherjd,whiteotherjd,nonresalienotherjd,unknownotherjd,totalftjd,fthispanicjd,ftamindjd,ftasianjd,ftblackjd,ftnathawjd,fttwoormorejd,ftminorityjd,ftwhitejd,ftnonresalienjd,ftunknownjd,totalptjd,pthispanicjd,ptamindjd,ptasianjd,ptblackjd,ptnathawjd,pttwoormorejd,ptminorityjd,ptwhitejd,ptnonresalienjd,ptunknownjd,totaljd1,hispanicjd1,amindianjd1,asianjd1,blackjd1,nathawjd1,twoormorejd1,minorityjd1,whitejd1,nonresalienjd1,unknownjd1,amindianmenjd1,amindianotherjd1,amindianwomenjd1,asianmenjd1,asianotherjd1,asianwomenjd1,blackmenjd1,blackotherjd1,blackwomenjd1,hispanicmenjd1,hispanicotherjd1,hispanicwomenjd1,minoritymenjd1,minorityotherjd1,minoritywomenjd1,nathawmenjd1,nathawotherjd1,nathawwomenjd1,nonresalienmenjd1,nonresalienotherjd1,nonresalienwomenjd1,twoormoremenjd1,twoormoreotherjd1,twoormorewomenjd1,unknownmenjd1,unknownotherjd1,unknownwomenjd1,whitemenjd1,whiteotherjd1,whitewomenjd1,menjd1,otherjd1,womenjd1,amindianjd2,amindianmenjd2,amindianotherjd2,amindianwomenjd2,asianjd2,asianmenjd2,asianotherjd2,asianwomenjd2,blackjd2,blackmenjd2,blackotherjd2,blackwomenjd2,hispanicjd2,hispanicmenjd2,hispanicotherjd2,hispanicwomenjd2,minorityjd2,minoritymenjd2,minorityotherjd2,minoritywomenjd2,nathawjd2,nathawmenjd2,nathawotherjd2,nathawwomenjd2,nonresalienjd2,nonresalienmenjd2,nonresalienotherjd2,nonresalienwomenjd2,twoormorejd2,twoormoremenjd2,twoormoreotherjd2,twoormorewomenjd2,unknownjd2,unknownmenjd2,unknownotherjd2,unknownwomenjd2,whitejd2,whitemenjd2,whiteotherjd2,whitewomenjd2,menjd2,otherjd2,womenjd2,totaljd2,amindianjd3,amindianmenjd3,amindianotherjd3,amindianwomenjd3,asianjd3,asianmenjd3,asianotherjd3,asianwomenjd3,blackjd3,blackmenjd3,blackotherjd3,blackwomenjd3,hispanicjd3,hispanicmenjd3,hispanicotherjd3,hispanicwomenjd3,minorityjd3,minoritymenjd3,minorityotherjd3,minoritywomenjd3,nathawjd3,nathawmenjd3,nathawotherjd3,nathawwomenjd3,nonresalienjd3,nonresalienmenjd3,nonresalienotherjd3,nonresalienwomenjd3,twoormorejd3,twoormoremenjd3,twoormoreotherjd3,twoormorewomenjd3,unknownjd3,unknownmenjd3,unknownotherjd3,unknownwomenjd3,whitejd3,whitemenjd3,whiteotherjd3,whitewomenjd3,menjd3,otherjd3,womenjd3,totaljd3
00103600,Samford University,2014,426,12,1,9,21,0,3,46,372,0,8,230,7,1,2,7,0,1,18,208,0,4,196,5,0,7,14,0,2,28,164,0,4,0,0,0,0,0,0,0,0,0,0,0,401,11,1,9,20,0,3,44,349,0,8,25,1,0,0,1,0,0,2,23,0,0,159,4,1,4,10,0,1,20,136,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00103600,Samford University,2015,449,17,2,8,28,0,5,60,378,0,11,240,12,2,1,11,0,3,29,206,0,5,209,5,0,7,17,0,2,31,172,0,6,0,0,0,0,0,0,0,0,0,0,0,424,16,2,8,25,0,4,55,358,0,11,25,1,0,0,3,0,1,5,20,0,0,152,7,1,1,13,0,4,26,120,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00103600,Samford University,2016,434,18,5,7,35,1,7,73,348,0,13,227,9,4,1,13,0,5,32,189,0,6,207,9,1,6,22,1,2,41,159,0,7,0,0,0,0,0,0,0,0,0,0,0,408,18,5,6,31,1,6,67,328,0,13,26,0,0,1,4,0,1,6,20,0,0,153,9,3,2,14,1,2,31,116,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00103600,Samford University,2017,426,17,6,4,37,1,5,70,348,0,8,213,7,3,1,13,0,4,28,181,0,4,213,10,3,3,24,1,1,42,167,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,156,5,3,1,13,0,0,22,130,0,4,1,0,2,0,0,1,3,0,10,3,0,2,7,0,15,0,0,0,0,0,0,0,0,0,2,0,2,69,0,61,78,0,78,2,1,0,1,2,1,0,1,12,4,0,8,7,2,0,5,25,9,0,16,1,0,0,1,0,0,0,0,1,1,0,0,2,2,0,0,106,57,0,49,68,0,65,133,1,1,0,0,1,0,0,1,12,6,0,6,5,2,0,3,23,12,0,11,0,0,0,0,0,0,0,0,4,3,0,1,2,0,0,2,112,55,0,57,67,0,70,137
00105100,University of Alabama,2011,509,8,2,7,46,3,6,72,437,0,0,299,5,1,3,20,1,5,35,264,0,0,210,3,1,4,26,2,1,37,173,0,0,,,,,,,,,,,,509,8,2,7,46,3,6,72,437,0,0,0,0,0,0,0,0,0,0,0,0,0,165,2,0,3,18,0,6,29,136,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105100,University of Alabama,2012,487,9,5,8,42,2,2,68,419,0,0,290,4,3,5,18,2,1,33,257,0,0,197,5,2,3,24,0,1,35,162,0,0,,,,,,,,,,,,487,9,5,8,42,2,2,68,419,0,0,0,0,0,0,0,0,0,0,0,0,0,151,3,0,1,14,0,2,20,131,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105100,University of Alabama,2013,465,10,2,4,38,0,9,63,402,0,0,274,6,1,2,15,0,7,31,243,0,0,191,4,1,2,23,0,2,32,159,0,0,,,,,,,,,,,,465,10,2,4,38,0,9,63,402,0,0,0,0,0,0,0,0,0,0,0,0,0,145,3,0,0,12,0,1,16,129,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105100,University of Alabama,2014,420,11,4,7,35,0,6,63,357,0,0,239,7,2,3,10,0,4,26,213,0,0,181,4,2,4,25,0,2,37,144,0,0,0,0,0,0,0,0,0,0,0,0,0,420,11,4,7,35,0,6,63,357,0,0,0,0,0,0,0,0,0,0,0,0,0,134,4,2,7,9,0,3,25,109,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105100,University of Alabama,2015,431,16,3,14,39,0,8,80,351,0,0,247,11,2,7,9,0,4,33,214,0,0,184,5,1,7,30,0,4,47,137,0,0,0,0,0,0,0,0,0,0,0,0,0,431,16,3,14,39,0,8,80,351,0,0,0,0,0,0,0,0,0,0,0,0,0,153,9,1,6,19,0,5,40,113,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105100,University of Alabama,2016,409,16,4,13,38,0,15,86,323,0,0,226,11,2,6,11,0,7,37,189,0,0,183,5,2,7,27,0,8,49,134,0,0,0,0,0,0,0,0,0,0,0,0,0,408,16,4,13,38,0,15,86,322,0,0,1,0,0,0,0,0,0,0,1,0,0,133,3,0,0,13,0,7,23,110,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105100,University of Alabama,2017,406,21,2,7,41,0,16,87,313,0,6,232,13,2,3,16,0,9,43,185,0,4,174,8,0,4,25,0,7,44,128,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,124,8,0,1,13,0,3,25,97,0,2,0,0,0,0,0,1,7,0,6,5,0,3,15,0,10,0,0,0,0,0,0,3,0,0,1,0,1,52,0,45,68,0,56,1,1,0,0,0,0,0,0,15,6,0,9,4,3,0,1,27,13,0,14,0,0,0,0,0,0,0,0,7,3,0,4,2,2,0,0,109,68,0,41,83,0,55,138,1,1,0,0,6,3,0,3,13,3,0,10,9,5,0,4,35,15,0,20,0,0,0,0,0,0,0,0,6,3,0,3,2,1,0,1,107,65,0,42,81,0,63,144
