schoolid,schoolname,calendaryear,transin,transout,transout1l,transjd1gpa75,transjd1gpa50,transjd1gpa25
00132600,Santa Clara University,2016,9,14,,,3.14,
00132600,Santa Clara University,2017,8,,12,0,0,0
00132800,University of Southern California,2011,24,4,,,,
00132800,University of Southern California,2012,29,1,,,,
00132800,University of Southern California,2013,37,3,,,,
00132800,University of Southern California,2014,30,3,,3.71,3.59,3.44
00132800,University of Southern California,2015,13,3,,3.64,3.55,3.47
00132800,University of Southern California,2016,28,4,,3.73,3.57,3.49
00132800,University of Southern California,2017,2,,0,0,0,0
00132901,McGeorge School of Law,2011,15,24,,,,
00132901,McGeorge School of Law,2012,9,7,,,,
00132901,McGeorge School of Law,2013,2,6,,,,
00132901,McGeorge School of Law,2014,2,7,,,,
00132901,McGeorge School of Law,2015,0,5,,,,
00132901,McGeorge School of Law,2016,0,7,,,,
00132901,McGeorge School of Law,2017,3,,0,0,0,0
00134201,Whittier Law School,2011,20,32,,,,
00134201,Whittier Law School,2012,13,36,,,,
00134201,Whittier Law School,2013,3,29,,,,
00134201,Whittier Law School,2014,2,28,,,,
00134201,Whittier Law School,2015,3,25,,,,
00134201,Whittier Law School,2016,1,28,,,,
00134201,Whittier Law School,2017,1,,62,0,0,0
00137000,University of Colorado,2011,14,2,,,,
00137000,University of Colorado,2012,11,9,,,,
00137000,University of Colorado,2013,18,3,,,,
00137000,University of Colorado,2014,7,2,,,3.37,
00137000,University of Colorado,2015,7,3,,,3.5,
00137000,University of Colorado,2016,0,7,,,,
00137000,University of Colorado,2017,1,,0,0,0,0
00137100,University of Denver,2011,16,11,,,,
00137100,University of Denver,2012,6,5,,,,
00137100,University of Denver,2013,16,7,,,,
00137100,University of Denver,2014,12,8,,3.21,3.06,2.96
00137100,University of Denver,2015,9,8,,,3.13,
00137100,University of Denver,2016,7,10,,,3.09,
00137100,University of Denver,2017,10,,5,0,0,0
00140201,Quinnipiac University,2011,4,6,,,,
00140201,Quinnipiac University,2012,4,7,,,,
00140201,Quinnipiac University,2013,3,7,,,,
00140201,Quinnipiac University,2014,1,8,,,,
00140201,Quinnipiac University,2015,4,5,,,,
00140201,Quinnipiac University,2016,3,5,,,,
00140201,Quinnipiac University,2017,2,,0,0,0,0
00141706,University of Connecticut,2011,12,5,,,,
00141706,University of Connecticut,2012,11,5,,,,
00141706,University of Connecticut,2013,8,7,,,,
