schoolid,schoolname,calendaryear,mainopeid,schoolcity,schoolstate,schoolzipcode,termtype,schooltype,schoolstatus
00143711,Catholic University of America,2017,00143700,Washington,DC,20064,SEM,PRI,Active
00144102,District of Columbia,2017,00144100,Washington,DC,20008,SEM,PUB,Active
00144402,George Washington University,2017,00144400,Washington,DC,20052,SEM,PRI,Active
00144503,Georgetown University,2017,00144500,Washington,DC,20001,SEM,PRI,Active
00144802,Howard University,2017,00144800,Washington,DC,20008,SEM,PRI,Active
00146601,Barry University,2017,00146600,Orlando,FL,32807,SEM,PRI,Active
00146800,St. Thomas University (Florida),2017,00146800,Miami Gardens,FL,33054,SEM,PRI,Active
00148001,Florida A&M University,2017,00148000,Orlando,FL,32801,SEM,PUB,Active
00148900,Florida State University,2017,00148900,Tallahassee,FL,32306,SEM,PUB,Active
00150900,Nova Southeastern University,2017,00150900,Fort Lauderdale,FL,33314,SEM,PRI,Active
00153101,Stetson University,2017,00153100,Gulfport,FL,33707,SEM,PRI,Active
00153505,University of Florida,2017,00153500,Gainesville,FL,32611,SEM,PUB,Active
00153601,University of Miami,2017,00153600,Coral Gables,FL,33146,SEM,PRI,Active
00156400,Emory University,2017,00156400,Atlanta,GA,30322,SEM,PRI,Active
00157400,Georgia State University,2017,00157400,Atlanta,GA,30302,SEM,PUB,Active
00158015,Mercer University,2017,00158000,Macon,GA,31201,SEM,PRI,Active
00159800,University of Georgia,2017,00159800,Athens,GA,30602,SEM,PUB,Active
00161000,University of Hawaii,2017,00161000,Honolulu,HI,96822,SEM,PUB,Active
00162600,University of Idaho,2017,00162600,Moscow,ID,83844,SEM,PUB,Active
00167100,Depaul University,2017,00167100,Chicago,IL,60604,SEM,PRI,Active
00169101,Chicago-Kent College of Law-IIT,2017,00169100,Chicago,IL,60661,SEM,PRI,Active
00169800,John Marshall Law School,2017,00169800,Chicago,IL,60604,SEM,PRI,Active
00171000,Loyola University-Chicago,2017,00171000,Chicago,IL,60611,SEM,PRI,Active
