mae_linear_ortho,mae_linear_dr,mae_forest_dr,mae_x_leaner,mae_s_leaner,mae_t_leaner,incremental,causal_forest,bart,mea_knn,linear_regression,mea_tmle,incremental_con
2.55,1.81,1.96,0.18,0.88,0.17,0.0004947758697673166,0.21126617075483178,0.012178406975005274,0.22527730242777988,0.11074032473579898,0.06094140702545481,0.049933518844905045
2.52,2.36,2.36,0.06,0.87,0.06,0.23587885336437786,0.31399066794680763,0.26943170718014997,0.029664637851394282,0.22373460153092228,0.1515929023524043,0.0499629516187019
2.36,1.24,1.87,0.22,0.41,0.14,0.0009946566875322915,0.2691665527476821,0.019867490872779392,0.16885349053552767,0.10678944480160046,0.16681862014660753,0.04992337623175169
8.55,2.83,5.07,1.7,1.28,0.04,0.0009833985209066753,4.1378402994979275,4.886239673035021,0.5336029493432282,5.339183178088435,0.8175114776486101,0.049564898152430814
1.9,0.58,0.7,0.11,0.71,0.18,0.7961443337219585,1.3278961108434926,0.21836941101163587,0.18620877014306858,0.34674062968593855,0.8751782697280595,0.04989697199731857
2.47,2.35,2.41,0.05,1.21,0.13,0.140977062507063,0.5155570542587915,0.10977876098643602,0.14602238907847997,0.42787342449184607,0.04253669831788365,0.049892097158062754
1.3,0.95,0.44,0.09,0.91,0.13,1.3664587102224464,1.0489215891665329,0.7213348825201313,0.20796060504959968,0.6896289725559943,1.6002909973642487,0.04985191950236878
0.6,1.59,2.52,0.79,2.17,0.14,3.387462848097644,3.4908529811127753,4.0392206843703,0.009682057027918911,3.6204320049821925,3.244035074105877,0.049817788437317434
6.36,2.89,3.59,0.32,2.52,0.29,0.12216202762788253,2.216509999088009,2.353027415266191,0.030580920100651277,1.633157193354208,0.5860573759204346,0.049581780126572106
3.28,2.79,3.01,0.41,1.8,0.18,0.4197911888740604,0.5025311772042036,1.094944075306659,0.4139624016025749,1.055864451144168,0.28872571124928736,0.049906547769769105
2.38,2.65,2.18,0.01,1.26,0.13,0.22262510625395215,0.05805561641625845,0.16600636975848637,0.2349958187454444,0.017406574154313237,0.17815583650836286,0.0499380791286792
2.25,1.75,2.43,0.07,0.89,0.02,0.0009948398533285996,0.47541306495753366,0.016512169662582732,0.00135475466326751,0.06749557250147697,0.22299822774785882,0.04990614878484578
2.23,1.74,1.98,0.25,1.39,0.27,0.0009985791135789235,0.1706680142904835,0.06376857311951323,0.27234354143856176,0.020268671051634435,0.11680914728960268,0.04987840484400996
2.32,1.91,1.94,0.33,1.34,0.3,0.4053255253079464,0.21738935214845867,0.3600093037675638,0.33380521151935927,0.21781212748193202,0.37823410386347067,0.049934195745427346
2.07,1.7,1.38,0.24,0.32,0.11,0.21997127737119193,0.2670309882608719,0.21373548646980378,0.20359732375486805,0.35803817783944414,0.30140845174695574,0.05000737182432058
7.89,5.15,2.59,0.28,2.69,0.11,0.0005216733904358506,3.786170505642785,3.460475029514334,0.8479225332997871,4.3735135387422535,0.46043638300115397,0.04981972502657328
2.62,1.65,2.27,0.05,1.26,0.09,0.0010001346473211825,0.24091290664375453,0.27787254856103605,0.1443723353891615,0.16770845996679018,0.04259890537918487,0.049919637345999135
2.18,1.82,2.11,0.18,1.12,0.07,0.0009920224768023012,0.533425404314467,0.03437696557607817,0.18402598220663569,0.22086878885881545,0.17818576093736338,0.0498458713434653
2.36,2.28,2.55,0.08,0.62,0.0,0.09861322410326956,0.26052157348566407,0.0981723428732959,0.22599851412726135,0.10005487388494849,0.05283217842605836,0.049886584683854096
2.51,2.67,1.76,0.03,0.92,0.11,0.04992187706761175,0.8043099883856968,0.34882068132924715,0.061419922978985575,0.34657689540275616,0.03925944943994697,0.04992651145827143
7.08,3.73,3.95,0.59,0.63,0.11,0.0009893941061340783,2.127586323400375,1.5620850815974032,0.19109670681998914,2.3084325652501425,0.566521694142323,0.049716881043723404
2.41,1.95,2.21,0.23,1.63,0.05,0.10122897173675227,0.623414885035781,0.42630595282780526,0.20732672902152505,0.2395042306625772,0.01003161686307763,0.049888316770927865
2.18,2.17,2.04,0.36,1.66,0.19,0.3384476205871527,0.19125821004859667,0.27380586821466624,0.010505513466019245,0.4025582355146575,0.294469502161681,0.049954452294386
